Vox file for Triad
14x14x14 slab size 
---------------------
 x    y    z    c    
 10   4    3    3 
 10   4    4    3 
 10   4    5    3 
 10   4    6    3 
 10   4    7    3 
 10   4    8    3 
 10   4    10   3 
 10   6    4    3 
 10   6    5    3 
 10   6    6    3 
 10   6    7    3 
 10   6    8    3 
 10   6    10   3 
 10   10   3    3 
 10   10   5    3 
 10   10   6    3 
 10   10   7    3 
 10   10   8    3 
 10   10   10   3 
 11   4    3    3 
 11   4    6    3 
 11   4    10   3 
 11   4    13   3 
 11   6    6    3 
 11   6    10   3 
 11   6    13   3 
 11   7    3    3 
 11   7    6    3 
 11   7    10   3 
 11   7    13   3 
 11   8    3    3 
 11   8    6    3 
 11   8    10   3 
 11   8    13   3 
 11   9    3    3 
 11   9    6    3 
 11   9    10   3 
 11   9    13   3 
 11   10   3    3 
 11   10   6    3 
 11   10   10   3 
 11   10   13   3 
 12   3    3    3 
 12   3    5    3 
 12   3    12   3 
 12   3    13   3 
 12   5    3    3 
 12   5    4    3 
 12   5    5    3 
 12   5    6    3 
 12   5    7    3 
 12   5    8    3 
 12   5    10   3 
 12   5    11   3 
 12   5    12   3 
 12   5    13   3 
 12   6    4    3 
 12   6    5    3 
 12   6    6    3 
 12   6    7    3 
 12   6    8    3 
 12   6    10   3 
 12   6    11   3 
 12   6    12   3 
 12   6    13   3 
---------------------
 c    R    G    B    
---------------------
 1    0    0    255 
 2    255  0    0   
 3    0    255  0   
